"date","open","high","low","close","volume","exchange","M20","M5"
2021-09-01,47121,49131,46521,48846,484495675.8104,"BTC/USD",NA,NA
2021-09-02,48846,50407,48623,49273,602599224.7076,"BTC/USD",NA,NA
2021-09-03,49273,51083,48340,50024,781215394.6365,"BTC/USD",NA,NA
2021-09-04,50025,50564,49387,49936,360255343.9789,"BTC/USD",NA,NA
2021-09-05,49936,51928,49463,51807,435352720.4655,"BTC/USD",NA,49977.2
2021-09-06,51807,52811,51044,52701,460544558.7533,"BTC/USD",NA,50748.2
2021-09-07,52701,52961,42923,46871,1046636821.1679,"BTC/USD",NA,50267.8
2021-09-08,46871,47361,44381,46059,724994634.5706,"BTC/USD",NA,49474.8
2021-09-09,46059,47404,45513,46392,530824376.2253,"BTC/USD",NA,48766
2021-09-10,46392,47039,44116,44859,430046662.2327,"BTC/USD",NA,47376.4
2021-09-11,44855,45994,44722,45170,247123044.3498,"BTC/USD",NA,45870.2
2021-09-12,45175,46489,44741,46024,259735978.626,"BTC/USD",NA,45700.8
2021-09-13,46027,46918,43378,44965,606874827.1733,"BTC/USD",NA,45482
2021-09-14,44965,47272,44699,47145,412890179.8465,"BTC/USD",NA,45632.6
2021-09-15,47137,48461,46700,48143,478883954.7653,"BTC/USD",NA,46289.4
2021-09-16,48143,48521,47042,47758,397445665.3359,"BTC/USD",NA,46807
2021-09-17,47758,48171,46752,47300,412444589.2189,"BTC/USD",NA,47062.2
2021-09-18,47304,48825,47042,48308,293139813.0416,"BTC/USD",NA,47730.8
2021-09-19,48308,48380,46833,47253,273724983.8499,"BTC/USD",NA,47752.4
2021-09-20,47253,47345,42502,43010,1052052213.5957,"BTC/USD",47592.2,46725.8
2021-09-21,43006,43643,39710,40721,1143649123.9611,"BTC/USD",47185.95,45318.4
2021-09-22,40721,44040,40567,43571,653815035.0843,"BTC/USD",46900.85,44572.6
2021-09-23,43571,45000,43091,44891,560182033.2854,"BTC/USD",46644.2,43889.2
2021-09-24,44891,45186,40711,42839,1011945998.6249,"BTC/USD",46289.35,43006.4
